,Title,Abstract,Classes,Text
1,Activated carbon derived from bacterial cellulose and its use as catalyst support for ethanol conversion to ethylene,"© 2019 Elsevier B.V.Activated carbon derived from bacterial cellulose (BC-AC) was modified with various amounts of H3PO4(x wt% P/BC-AC) and used as a catalyst for the selective dehydration of ethanol to ethylene. The BC-AC obtained at a carbonization temperature of 500 °C had a mesoporous structure with surface area and total pore volume of ~1730 m2/g and 1.0 cm3/g, respectively. An increase in the H3PO4 loading from 5% to 40% increased the number of weak acid sites on the catalyst surface, which consequently enhanced ethanol conversion. At the reaction temperature of 400 °C, the modified BC-AC with 30-40 wt% H3PO4 loading (P/BC-AC) gave an ethanol conversion at 100% and an ethylene selectivity of 100%. A high selectivity for diethyl ether (DEE) at ~ 67% at ethanol conversion of ~ 50% was obtained at 200 °C. Stability tests with a time-on-stream of 12 h, at reaction temperatures of 200 and 400 °C, showed that the P/BC-AC catalyst had high thermal stability and stable catalytic activity. Therefore, P/BC-AC was found to be very effective as an inexpensive and environmentally friendly catalyst for ethylene production via ethanol dehydration.","['CHE', 'MATENG']",activate carbon derive from bacterial cellulose and its use as catalyst support for ethanol conversion to ethylene elsevi b v activate carbon derive from bacterial cellulose bc ac be modify with various amount of h po x wt p bc ac and use as a catalyst for the selective dehydration of ethanol to ethylene the bc ac obtain at a carbonization temperature of c have a mesoporous structure with surface area and total pore volume of m g and cm g respectively an increase in the h po loading from to increase the number of weak acid site on the catalyst surface which consequently enhance ethanol conversion at the reaction temperature of c the modified bc ac with wt h po loading p bc ac give an ethanol conversion at and an ethylene selectivity of a high selectivity for diethyl ether dee at at ethanol conversion of be obtain at c stability test with a time on stream of h at reaction temperature of and c show that the p bc ac catalyst have high thermal stability and stable catalytic activity therefore p bc ac be find to be very effective as an inexpensive and environmentally friendly catalyst for ethylene production via ethanol dehydration
2,The algorithm of static hand gesture recognition using rule-based classification,"© Springer International Publishing AG 2018.Technology becomes a part of human lives for decades, especially in human—computer interaction (HCI) that considered as the important research area involving with an assistive technology and a medical system. Hand gesture is classified as an intuitive method for human to interact with the computer. It is useful for elderly people who cannot express their feelings by words. This paper proposed the hand gesture recognition technique for the elderly by using contour detection with convex hull feature extraction and rule-based classification. Vision-based hand gesture recognition is considered in classifying six hand gestures as lingual description. From the experimental results, the hand gesture system provides good detection and classification results for all the six static hand gestures.",['CPE'],the algorithm of static hand gesture recognition use rule base classification springer international publishing ag technology become a part of human life for decade especially in human computer interaction hci that consider as the important research area involve with an assistive technology and a medical system hand gesture be classify as an intuitive method for human to interact with the computer it be useful for elderly people who can not express their feeling by word this paper propose the hand gesture recognition technique for the elderly by use contour detection with convex hull feature extraction and rule base classification vision base hand gesture recognition be consider in classify six hand gesture as lingual description from the experimental result the hand gesture system provide good detection and classification result for all the six static hand gesture
3,Alternative Redundant Residue Number System Construction with Redundant Residue Representations,"© 2018 IEEE.Residue number system (RNS) is a number representation system that represents a large integer with several smaller integers. Due to its ability to perform addition and multiplication in parallel, RNS is widely used in signal processing, communication, and cryptography. To extend the ability of RNS, redundant residue number system (RRNS), which has abilities to detect and correct errors, is proposed to be used in fault tolerant applications. Currently, there are two major ways to construct RRNS from RNS. This paper proposes an alternative way to do the construction by using redundant residue representations. Our proposed RRNS can perform certain operations more efficiently, for example, backward conversion and error detection, and can also perform a complex RNS operation, namely, comparing the values between two RRNS representations. However, it would have more costs to perform addition and multiplication on our RRNS. We also compare our work to the two previous works, and discuss their advantages and drawbacks. Further investigations are required to improve the performance of the proposed RRNS.",['EE'],alternative redundant residue number system construction with redundant residue representation ieee residue number system rn be a number representation system that represent a large integer with several small integer due to its ability to perform addition and multiplication in parallel rn be widely use in signal processing communication and cryptography to extend the ability of rn redundant residue number system rrn which have ability to detect and correct error be propose to be use in fault tolerant application currently there be two major way to construct rrn from rn this paper propose an alternative way to do the construction by use redundant residue representation our propose rrn can perform certain operation more efficiently for example backward conversion and error detection and can also perform a complex rn operation namely compare the value between two rrn representation however it would have more cost to perform addition and multiplication on our rrn we also compare our work to the two previous work and discuss their advantage and drawback further investigation be require to improve the performance of the propose rrn
4,Comparative study of wax inhibitor performance for pour-point reduction of oil from Sirikit Oilfield in Thailand,"© Published under licence by IOP Publishing Ltd.In petroleum industries, waxy crude oil is normally found in petroleum production. Wax formation and precipitation during pipeline transport of waxy crude oils can cause several challenges, including wax deposition and flow reduction which adversely impacts pipeline performance in oil and gas production. To overcome the wax deposition problem, the small amount of chemicals like wax inhibitors can provide an effective preventative measure. One of this mechanism is to reduce the pour point temperature. In this work, oil from Sirikit Oilfield in Thailand is selected for this study. The wax inhibitors are selected and studied the performance for pour-point reduction. These chemicals are Polyalkyl methacrylate (PAMA), Poly(maleic anhydride-alt-1-octadecane) (PMAO), Polyalkyl methacrylate-co-ethylene glycol (PAMAEG) and Copolymers of maleic anhydride (CPMA) with the concentration ranging from 100 to 1000 ppm. Also, n-pentane with the concentration of 5-20 % by weight is used as a solvent for wax inhibitors. The results from this study show that n-pentane can reduce the pour point to 39.41 % compared to the original oil. Furthermore, among the polymer group, PMAO can reduce the lowest pour point to 52.82 %. In addition, the mixed solvents of polymer with n-pentane can provide relatively less effect on pour-point reduction. The mixture of n-pentane with PMAO can lower the pour point to a certain level of 54.96 % compared to the original oil. This study can be applied to use in the real field to prevent wax deposition in the pipeline transportation for oil production.","['PE', 'ME', 'CHE']",comparative study of wax inhibitor performance for pour point reduction of oil from sirikit oilfield in thailand publish under licence by iop publish ltd in petroleum industry waxy crude oil be normally find in petroleum production wax formation and precipitation during pipeline transport of waxy crude oil can cause several challenge include wax deposition and flow reduction which adversely impact pipeline performance in oil and gas production to overcome the wax deposition problem the small amount of chemical like wax inhibitor can provide an effective preventative measure one of this mechanism be to reduce the pour point temperature in this work oil from sirikit oilfield in thailand be select for this study the wax inhibitor be select and study the performance for pour point reduction these chemical be polyalkyl methacrylate pama poly maleic anhydride alt octadecane pmao polyalkyl methacrylate co ethylene glycol pamaeg and copolymer of maleic anhydride cpma with the concentration range from to ppm also n pentane with the concentration of by weight be use as a solvent for wax inhibitor the result from this study show that n pentane can reduce the pour point to compare to the original oil furthermore among the polymer group pmao can reduce the low pour point to in addition the mixed solvent of polymer with n pentane can provide relatively less effect on pour point reduction the mixture of n pentane with pmao can lower the pour point to a certain level of compare to the original oil this study can be apply to use in the real field to prevent wax deposition in the pipeline transportation for oil production
5,Undrained lower bound solutions for end bearing capacity of shallow circular piles in non-homogeneous and anisotropic clays,"© 2019 John Wiley & Sons, Ltd.The undrained bearing capacity of shallow circular piles in non-homogeneous and anisotropic clay is investigated by the lower bound (LB) finite element limit analysis (FELA) under two-dimensional (2D) axisymmetric condition using second-order cone programming, and the new solution of the problem is presented. Modified from the isotropic von Mises yield criterion, a cross-anisotropic undrained strength criterion of clays under the axisymmetric state of stress requiring three input shear strengths in triaxial compression, direct simple shear, and triaxial extension is employed in the 2D axisymmetric LB FELA. Parametric studies on the effects of pile embedment ratio, dimensionless strength gradient, anisotropic strength ratio, and pile roughness are investigated extensively, while the predicted failure mechanisms associated with these parameters are discussed and compared. Numerical results of undrained end bearing capacity of shallow circular piles are summarized in the form of design tables that are useful for design practice and represent a new contribution to the field of pile capacity considering the combined effects of undrained strength non-homogeneity and anisotropy.","['CE', 'MATSCI']",undraine low bind solution for end bear capacity of shallow circular pile in non homogeneous and anisotropic clay john wiley sons ltd the undrained bearing capacity of shallow circular pile in non homogeneous and anisotropic clay be investigate by the lower bind lb finite element limit analysis fela under two dimensional d axisymmetric condition use second order cone programming and the new solution of the problem be present modify from the isotropic von mise yield criterion a cross anisotropic undrained strength criterion of clay under the axisymmetric state of stress require three input shear strength in triaxial compression direct simple shear and triaxial extension be employ in the d axisymmetric lb fela parametric study on the effect of pile embedment ratio dimensionless strength gradient anisotropic strength ratio and pile roughness be investigate extensively while the predict failure mechanism associate with these parameter be discuss and compare numerical result of undrained end bear capacity of shallow circular pile be summarize in the form of design table that be useful for design practice and represent a new contribution to the field of pile capacity consider the combine effect of undrained strength non homogeneity and anisotropy
6,Words Diffusion an Analysis of across Facebook Pages in Thailand,"© 2018 IEEE.Facebook Pages in Thailand have become prominent and very well-known in online media, business, and news broadcasting. Facebook pages seem to have become importantly technological tools which can provide methods and frameworks for identifying trending words and analyzing their trends and flows. The results demonstrated that incorporating reaction factor when weighting importance of words found in messages posted in different period of time and domains can help identify flows of trendy words.",['CPE'],word diffusion an analysis of across facebook page in thailand ieee facebook page in thailand have become prominent and very well know in online medium business and news broadcasting facebook page seem to have become importantly technological tool which can provide method and framework for identify trend word and analyze their trend and flow the result demonstrate that incorporate reaction factor when weight importance of word find in message post in different period of time and domain can help identify flow of trendy word
7,Transformation of time Petri net into Promela,"© 2017 IEEE.This paper proposes a method of transformation of time Petri net into Promela in order to verify their behavioral properties of the timed systems. The concurrent systems, with time attributes on transactions, are typically written in time Petri net. For quantitative and qualitative analysis of their properties, these time Petri net would be transformed into Promela beforehand. We also propose the linear temporal formula to specify the correctness properties. The proposed transforming method copes with the representation of both Petri net structure and its dynamic behavior. The token flows in time Petri net are modelled into Promela code, hence the implicit dynamic behavior would be practically described in the model. The resulting Promela code is simulated and verified by SPIN tool and reveals that not only the time related behaviors would be evaluated, but also the qualitative properties, such as safety and liveness.","['CPE', 'MATH']",transformation of time petri net into promela ieee this paper propose a method of transformation of time petri net into promela in order to verify their behavioral property of the time system the concurrent system with time attribute on transaction be typically write in time petri net for quantitative and qualitative analysis of their property these time petri net would be transform into promela beforehand we also propose the linear temporal formula to specify the correctness property the propose transforming method cope with the representation of both petri net structure and its dynamic behavior the token flow in time petri net be model into promela code hence the implicit dynamic behavior would be practically describe in the model the result promela code be simulate and verify by spin tool and reveal that not only the time relate behavior would be evaluate but also the qualitative property such as safety and liveness
8,Annual Degradation Rate Analysis of Mono-Si Photovoltaics Systems in Thailand Using the Mixed Effects Method,"© 2013 IEEE.The annual degradation rate (DR) of photovoltaics (PV) system is a critical factor to evaluate the energy performance and the levelized cost of electricity (LCOE) during its operation lifetime. However, the DR of a particular system strongly depends on the technical configuration such as PV module and array, inverter configuration, and also the climatic conditions. Therefore, a real operation dataset of DR is necessary to PV engineer in order to estimate energy performance and the LCOE for a particular system. This article presents the annual DR for a group of PV systems in Bangkok, Thailand which share the same monocrystalline silicon (Mono-Si) solar cell and inverter brand, over a four-year period. Instead of using simple linear regression, we apply the linear mixed effects method to estimate the DR value, which is suitable to formula a time-series data. The annual DR was found about 2.7% per year, with the 95% confidence interval from 0.7% to 4.6% per year. Hence, the operation lifetime of PV system until it reaches 80% of their initial energy conversion performance is about 7 years, with the 95% confidence interval from 4 years to 28 years. The resulting DR is informative and useful for further study on PV system performance and cost of investment in tropical region. Furthermore, we are the first group in Thailand to estimate the DR of PV station at system scale based on the mixed effects method. Finally, our study has enriched the knowledge about the operation of Mono-Si PV station in real operation condition.","['PE', 'EE', 'CHE']",annual degradation rate analysis of mono si photovoltaic system in thailand use the mixed effect method ieee the annual degradation rate dr of photovoltaic pv system be a critical factor to evaluate the energy performance and the levelize cost of electricity lcoe during its operation lifetime however the dr of a particular system strongly depend on the technical configuration such as pv module and array inverter configuration and also the climatic condition therefore a real operation dataset of dr be necessary to pv engineer in order to estimate energy performance and the lcoe for a particular system this article present the annual dr for a group of pv system in bangkok thailand which share the same monocrystalline silicon mono si solar cell and inverter brand over a four year period instead of use simple linear regression we apply the linear mix effect method to estimate the dr value which be suitable to formula a time series datum the annual dr be find about per year with the confidence interval from to per year hence the operation lifetime of pv system until it reach of their initial energy conversion performance be about year with the confidence interval from year to year the result dr be informative and useful for further study on pv system performance and cost of investment in tropical region furthermore we be the first group in thailand to estimate the dr of pv station at system scale base on the mixed effect method finally our study have enrich the knowledge about the operation of mono si pv station in real operation condition
9,Development of Low-Cost in-the-Ear EEG Prototype,"© 2018 IEEE.This study focused on building a low-cost wearable EEG device multiple hour usage. The device suitable for long period monitoring is in-the-ear EEG, which has desirable wearable characteristics. With electrode in an earbud, it is relatively simple to install and wear. The in-the-ear prototype in this study was built from earphone rubber as an earpiece and silver-adhesive fabric as electrodes. Raw materials cost 3 dollar per piece. The impedance measurement from in-the-ear EEG is comparable to those of commercial electrodes. Signal verifications were conducted by teeth clenching, ASSR, MMN, and correlation. The signal verification results show that there is a strong correlation between in-the-ear EEG and T7/T8 signals. (γ-coefficient = 0.912)","['BME', 'CPE', 'IE']",development of low cost in the ear eeg prototype ieee this study focus on build a low cost wearable eeg device multiple hour usage the device suitable for long period monitoring be in the ear eeg which have desirable wearable characteristic with electrode in an earbud it be relatively simple to install and wear the in the ear prototype in this study be build from earphone rubber as an earpiece and silver adhesive fabric as electrode raw material cost dollar per piece the impedance measurement from in the ear eeg be comparable to those of commercial electrode signal verification be conduct by tooth clench assr mmn and correlation the signal verification result show that there be a strong correlation between in the ear eeg and t t signal γ coefficient
10,Model-based analysis of an integrated zinc-air flow Battery/Zinc Electrolyzer System,"© 2019 Lao-atiman, Bumroongsil, Arpornwichanop, Bumroongsakulsawat, Olaru and Kheawhom.This work aims at analyzing an integrated system of a zinc-air flow battery with a zinc electrolyzer for energy storage application. For efficient utilization of inherently intermittent renewable energy sources, safe and cost-effective energy storage systems are required. A zinc-air flow battery integrated with a zinc electrolyzer shows great promise as an electricity storage system due to its high specific energy density at low cost. A mathematical model of the system was developed. The model was implemented in MATLAB and validated against experimental results. The validation of the model was verified by the agreement between the simulation and experimental polarization characteristic. The behavior and performance of the system were then examined as a function of different operating parameters: the flow rate of the electrolyte, the initial concentration of potassium hydroxide (KOH) and the initial concentration of zincate ion. These parameters significantly affected the performance of the system. The influence of the hydrogen evolution reaction (HER) on the performance of the system was investigated and discussed as it significantly affected the coulombic efficiencies of both the zinc-air flow battery and the zinc electrolyzer. Optimal KOH concentration was found to be about 6-7 M. Whilst increased KOH concentration enhanced the discharge energy of the battery, it also increased HER of both the battery and the electrolyzer. However, higher initial concentration of zincate ion reduced HER and improved the coulombic efficiency of the system. Besides, a higher flow rate of electrolyte enhanced the performance of the system especially at a high charge/discharge current by maintaining the concentration of active species in the cell. Nevertheless, the battery suffered from a higher rate of HER at a high flow rate. It was noted that the model-based analysis provided better insight into the behavioral characteristics of the system leading to an improved design and operation of the integrated system of zinc-air flow battery with the zinc electrolyzer.","['PE', 'METAL', 'EE', 'CPE', 'CHE', 'IE', 'MATH']",model base analysis of an integrate zinc air flow battery zinc electrolyzer system lao atiman bumroongsil arpornwichanop bumroongsakulsawat olaru and kheawhom this work aim at analyze an integrate system of a zinc air flow battery with a zinc electrolyzer for energy storage application for efficient utilization of inherently intermittent renewable energy source safe and cost effective energy storage system be require a zinc air flow battery integrate with a zinc electrolyzer show great promise as an electricity storage system due to its high specific energy density at low cost a mathematical model of the system be develop the model be implement in matlab and validate against experimental result the validation of the model be verify by the agreement between the simulation and experimental polarization characteristic the behavior and performance of the system be then examine as a function of different operating parameter the flow rate of the electrolyte the initial concentration of potassium hydroxide koh and the initial concentration of zincate ion these parameter significantly affect the performance of the system the influence of the hydrogen evolution reaction she on the performance of the system be investigate and discuss as it significantly affect the coulombic efficiency of both the zinc air flow battery and the zinc electrolyzer optimal koh concentration be find to be about m whilst increase koh concentration enhance the discharge energy of the battery it also increase she of both the battery and the electrolyzer however high initial concentration of zincate ion reduce she and improve the coulombic efficiency of the system besides a high flow rate of electrolyte enhance the performance of the system especially at a high charge discharge current by maintain the concentration of active specie in the cell nevertheless the battery suffer from a high rate of she at a high flow rate it be note that the model base analysis provide well insight into the behavioral characteristic of the system lead to an improved design and operation of the integrate system of zinc air flow battery with the zinc electrolyzer
